round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_count,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
37,complete,3276,3365.6067636877865,3366,90,200,18000.000000000004,0.023609218161823264,0.15321216541670465,0.09861371429996078,0.0015208156214111604,0.0015208156214111604,0.11140797222365986,0.023609218161823264,0.0015208156214111604,0.2924926324358973,0.2924926324358973,0.15213177669184022,0.034685427557527196,0.11140797222365992,0.04721843632364655,0.004562446864233488,0.05731053848318061,0.0030427304238003065,0.5819425344479944,0.0037218121036106627,0.0010803887248644673,0.0028959361556423224
38,complete,3367,3456.6067636877865,3457,90,200,18000.0,0.022842643967446376,0.15054139183873277,0.10093913128056983,0.0015767242288635371,0.0015767242288635371,0.11574368647245047,0.022842643967446376,0.0015767242288635371,0.29118016489338183,0.29118016489338183,0.14957703995967014,0.034671677936764796,0.11574368647245047,0.04568528793489275,0.004730172686590615,0.05986877632980967,0.002245416095356415,0.5801149136914072,0.003744979504922626,0.000964351879062554,0.002653697509072724
39,complete,3458,3547.6067636877865,3548,90,200,18000.000000000004,0.024247637353879907,0.14744957379674223,0.11029663541504739,0.0015859210408166518,0.0015859210408166518,0.11817087319941104,0.024247637353879907,0.0015859210408166518,0.2854149398792948,0.2854149398792948,0.1466194236285407,0.03698546090454997,0.11817087319941107,0.04849527470775982,0.004757763122449955,0.06676316291121404,0.0028878207644070955,0.5679420589941825,0.003847766321765746,0.0008301501682014857,0.002700245277517635
40,complete,3549,3638.6067636877865,3639,90,200,17999.999999999996,0.021249132712646893,0.15656935115828732,0.11380992148913795,0.0012666841613649079,0.0012666841613649079,0.11218301203161095,0.021249132712646893,0.0012666841613649079,0.2855696987057876,0.2855696987057876,0.1555677417021716,0.03780031655781331,0.11218301203161093,0.04249826542529378,0.0038000524840947217,0.06762763695554382,0.003254332601122856,0.5678850648104526,0.004761394741917459,0.0010016094561156226,0.0036205732338633295
41,complete,3640,3729.6067636877865,3730,90,200,18000.000000000004,0.01907833186224396,0.16084961745357482,0.11070808058705067,0.0010097704926313223,0.0010097704926313223,0.11094734456974537,0.01907833186224396,0.0010097704926313223,0.2881544910936236,0.2881544910936236,0.1598636054351578,0.03693693711408185,0.11094734456974534,0.038156663724487914,0.003029311477893966,0.06441240332499326,0.004100946045805337,0.572208036141442,0.0052581348172323775,0.000986012018417102,0.004100605330743148
42,complete,3731,3820.6067636877865,3821,90,200,17999.999999999996,0.023409536393462587,0.1598753082536401,0.10616166509321363,0.0015496234591979448,0.0015496234591979448,0.1198457204480539,0.023409536393462587,0.0015496234591979448,0.28132468152028667,0.28132468152028667,0.15905042015151166,0.03508303505572464,0.1198457204480539,0.046819072786925174,0.004648870377593836,0.0641119250031568,0.003074099388643542,0.55957526365193,0.003992151701245135,0.0008248881021283666,0.002974553333087057
43,complete,3822,3911.6067636877865,3912,90,200,18000.0,0.023857568890052364,0.1519331056429699,0.10853552130587522,0.0016419442426648335,0.0016419442426648335,0.11868481979193707,0.023857568890052364,0.0016419442426648335,0.28410279137555927,0.28410279137555927,0.1510709934334781,0.03503905975138328,0.11868481979193704,0.047715137780104715,0.004925832727994501,0.06705992459602146,0.0022797002488115334,0.5659258825023071,0.0038262074685978726,0.0008621122094918095,0.0026103294898725433
44,complete,3913,4002.6067636877865,4003,90,200,18000.0,0.023714351870668202,0.16428348324553138,0.0891392374831609,0.0015263420027753305,0.0015263420027753305,0.11232680837273945,0.023714351870668202,0.0015263420027753305,0.2911213705744529,0.2911213705744529,0.1630719980503294,0.03206086006184798,0.11232680837273944,0.0474287037413364,0.004579026008325992,0.05039160635889584,0.003016117690828566,0.5792266234580773,0.003815984572943175,0.0012114851952020023,0.002870786489473881
45,complete,4004,4093.6067636877865,4094,90,200,18000.0,0.023276677240500223,0.14814581687298087,0.10400539027136069,0.0016141306042154564,0.0016141306042154564,0.11793103514224468,0.023276677240500223,0.0016141306042154564,0.2892610057098835,0.2892610057098835,0.14730130505061428,0.03390798051783446,0.11793103514224466,0.04655335448100044,0.004842391812646367,0.06381407117972436,0.002275948582418296,0.5762460628373487,0.0036084992572576586,0.0008445118223665632,0.0026748393165441416
46,complete,4095,4184.606763687786,4185,90,200,18000.000000000004,0.02436457096645093,0.14643485136721165,0.10961725100250724,0.0015988862951596841,0.0015988862951596841,0.1179645176452124,0.02436457096645093,0.0015988862951596841,0.28622878958334386,0.28622878958334386,0.14555845606470025,0.036761139496202744,0.1179645176452124,0.04872914193290186,0.004796658885479053,0.06642792846069888,0.0028467710230226525,0.5696108081436653,0.0037894263895949304,0.0008763953025113829,0.0026387566560106377
47,complete,4186,4275.606763687786,4276,90,200,18000.000000000004,0.01977933055080242,0.15487258800999662,0.11633426563901922,0.0011306122830114934,0.0011306122830114934,0.10973987073810904,0.01977933055080242,0.0011306122830114934,0.2880513888311179,0.2880513888311179,0.15389254565154067,0.03950586523988001,0.10973987073810904,0.03955866110160484,0.00339183684903448,0.06759341452894409,0.003888478892953368,0.5722142987692824,0.005145780128374941,0.000980042358455966,0.0040892057418201065
48,complete,4277,4366.606763687786,4367,90,200,18000.000000000004,0.01931929367376245,0.15837998991675095,0.11077886898293267,0.0010664839599915513,0.0010664839599915513,0.10891078601045111,0.01931929367376245,0.0010664839599915513,0.2900461579311829,0.2900461579311829,0.15729452951170736,0.03608599488721961,0.10891078601045114,0.03863858734752491,0.003199451879974656,0.06568890269939537,0.003673628490209319,0.5764186873721565,0.005134369621765141,0.001085460405043515,0.003869601774552506
49,complete,4368,4457.606763687786,4458,90,200,18000.000000000007,0.02368696633881437,0.15951924343405796,0.10681065758624846,0.001604912164994525,0.001604912164994525,0.12129061812666424,0.02368696633881437,0.001604912164994525,0.2800954058402085,0.2800954058402085,0.15880102200407964,0.03628359462731164,0.12129061812666424,0.04737393267762874,0.004814736494983575,0.06400342885789691,0.002891593105463402,0.5572992185749537,0.0037180059915692585,0.0007182214299782565,0.0028056281094706904
50,complete,4459,4548.606763687786,4549,90,200,18000.000000000004,0.024269513006999865,0.15574513320173947,0.10739902068622824,0.0016441661377788821,0.0016441661377788821,0.12059402860027799,0.024269513006999865,0.0016441661377788821,0.28139514654220893,0.28139514654220893,0.15489182845039834,0.035041944646201084,0.12059402860027799,0.04853902601399973,0.004932498413336647,0.06584021180121866,0.00226529075077155,0.5605250023336464,0.003938347244873171,0.0008533047513411101,0.0025785169939353623
51,complete,4550,4639.606763687786,4640,90,200,17999.999999999996,0.023243183668862858,0.17096884760843528,0.08897224942295306,0.0015303275556712694,0.0015303275556712694,0.1140321303165592,0.023243183668862858,0.0015303275556712694,0.28747471132365643,0.28747471132365643,0.16985264274439915,0.031718822974010547,0.1140321303165592,0.046486367337725716,0.004590982667013809,0.050651878275860165,0.0029946004401146184,0.5719548222071983,0.0037403823714105937,0.001116204864036144,0.0028611658016717305
52,complete,4641,4730.606763687786,4731,90,200,18000.0,0.02385808457344418,0.15116784349812654,0.10231791682436801,0.0015976362170693188,0.0015976362170693188,0.11796299318879389,0.02385808457344418,0.0015976362170693188,0.28802108434530765,0.28802108434530765,0.15030197542241872,0.03232946079180893,0.11796299318879384,0.04771616914688834,0.004792908651207956,0.06354107377322159,0.0023347728678023163,0.5737073958228132,0.003738475134429317,0.0008658680757077809,0.0027089071249080973
53,complete,4732,4821.606763687786,4822,90,200,18000.0,0.023100152718117755,0.14953710965218525,0.10822585179321227,0.0015096255217812416,0.0015096255217812416,0.11700733707957192,0.023100152718117755,0.0015096255217812416,0.2872502597367257,0.2872502597367257,0.1486453798926377,0.03622355088551603,0.11700733707957192,0.04620030543623551,0.0045288765653437296,0.06512154866812431,0.003176926040033209,0.5713235934334182,0.003968183768033536,0.0008917297595475179,0.002912568471538373
54,complete,4823,4912.606763687786,4913,90,200,18000.0,0.01936774505225286,0.1552327097275293,0.116987289376635,0.0010890251882464416,0.0010890251882464416,0.10933942828717422,0.01936774505225286,0.0010890251882464416,0.2882190034697082,0.2882190034697082,0.15420598313682374,0.03994969923512941,0.10933942828717418,0.0387354901045057,0.0032670755647393234,0.06743213985000887,0.004240036874133822,0.5721979700652827,0.005290809517491494,0.001026726590705518,0.0043146407740051245
55,complete,4914,5003.606763687786,5004,90,200,17999.999999999996,0.020184929316978045,0.1513858815750672,0.11149146847194752,0.001208875739365054,0.001208875739365054,0.10958495157396643,0.020184929316978045,0.001208875739365054,0.29177060626348383,0.29177060626348383,0.15039806305118006,0.035863009807109644,0.10958495157396643,0.04036985863395609,0.0036266272180951603,0.06740805218260976,0.003104792972593987,0.5804364195543736,0.004640919367659315,0.0009878185238871447,0.0035794871145687977
56,complete,5005,5094.606763687786,5095,90,200,18000.000000000004,0.023274574425341667,0.15763193820152271,0.1054358870387535,0.0015559727312481433,0.0015559727312481433,0.11892798099903598,0.023274574425341667,0.0015559727312481433,0.28339356335813,0.28339356335813,0.15682918127281412,0.03474818018358484,0.11892798099903598,0.046549148850683335,0.004667918193744429,0.06411269362531087,0.002940997864705267,0.5638461288515548,0.0037211174035110192,0.0008027569287085743,0.0028538958263468125
57,complete,5096,5185.606763687786,5186,90,200,18000.000000000004,0.02443607415371896,0.16544166061097326,0.099876961266251,0.0016230712434200435,0.0016230712434200435,0.12121197142409569,0.02443607415371896,0.0016230712434200435,0.279864022330491,0.279864022330491,0.16449266180207436,0.03557266896575293,0.12121197142409566,0.048872148307437906,0.004869213730260126,0.05775677434284885,0.0022651647296361784,0.557462879931346,0.004007235923309451,0.0009489988088987683,0.0025402820343397347
